DATE,BAMLHY,ln_BAMLHY,lnr_BAMLHY
12/31/1996,9.55,2.256541154,0
1/1/1997,.,,
1/2/1997,9.57,2.258633205,
1/3/1997,9.58,2.259677592,0.001044387
1/6/1997,9.61,2.262804223,0.003126631
1/7/1997,9.63,2.264883226,0.002079003
1/8/1997,9.63,2.264883226,0
1/9/1997,9.6,2.261763098,-0.003120127
1/10/1997,9.64,2.265921109,0.00415801
1/13/1997,9.64,2.265921109,0
1/14/1997,9.59,2.260720889,-0.00520022
1/15/1997,9.56,2.257587727,-0.003133162
1/16/1997,9.56,2.257587727,0
1/17/1997,9.56,2.257587727,0
1/20/1997,9.55,2.256541154,-0.001046573
1/21/1997,9.53,2.254444718,-0.002096437
1/22/1997,9.52,2.253394849,-0.001049869
1/23/1997,9.53,2.254444718,0.001049869
1/24/1997,9.53,2.254444718,0
1/27/1997,9.54,2.255493485,0.001048768
1/28/1997,9.52,2.253394849,-0.002098637
1/29/1997,9.49,2.250238613,-0.003156236
1/30/1997,9.49,2.250238613,0
1/31/1997,9.49,2.250238613,0
2/3/1997,9.45,2.246014742,-0.004223871
2/4/1997,9.44,2.24495598,-0.001058761
2/5/1997,9.43,2.243896097,-0.001059884
2/6/1997,9.42,2.242835089,-0.001061008
2/7/1997,9.39,2.239645293,-0.003189795
2/10/1997,9.37,2.237513096,-0.002132197
2/11/1997,9.36,2.23644529,-0.001067806
2/12/1997,9.35,2.235376343,-0.001068947
2/13/1997,9.31,2.231089091,-0.004287252
2/14/1997,9.27,2.22678338,-0.004305712
2/17/1997,.,,
2/18/1997,9.27,2.22678338,
2/19/1997,9.26,2.225704049,-0.001079331
2/20/1997,9.25,2.224623552,-0.001080497
2/21/1997,9.23,2.222459049,-0.002164503
2/24/1997,9.22,2.221375038,-0.001084011
2/25/1997,9.21,2.22028985,-0.001085187
2/26/1997,9.24,2.223541886,0.003252035
2/27/1997,9.27,2.22678338,0.003241494
2/28/1997,9.34,2.234306252,0.007522873
3/3/1997,9.32,2.232162629,-0.002143624
3/4/1997,9.31,2.231089091,-0.001073537
3/5/1997,9.32,2.232162629,0.001073537
3/6/1997,9.33,2.233235015,0.001072386
3/7/1997,9.31,2.231089091,-0.002145924
3/10/1997,9.31,2.231089091,0
3/11/1997,9.3,2.2300144,-0.001074691
3/12/1997,9.31,2.231089091,0.001074691
3/13/1997,9.35,2.235376343,0.004287252
3/14/1997,9.36,2.23644529,0.001068947
3/17/1997,9.37,2.237513096,0.001067806
3/18/1997,9.38,2.238579763,0.001066667
3/19/1997,9.41,2.241772954,0.003193191
3/20/1997,9.43,2.243896097,0.002123143
3/21/1997,9.44,2.24495598,0.001059884
3/24/1997,9.44,2.24495598,0
3/25/1997,9.45,2.246014742,0.001058761
3/26/1997,9.51,2.252343877,0.006329135
3/27/1997,9.58,2.259677592,0.007333715
3/28/1997,.,,
3/31/1997,9.78,2.280339484,
4/1/1997,9.8,2.282382386,0.002042902
4/2/1997,9.82,2.284421122,0.002038737
4/3/1997,9.83,2.285438934,0.001017812
4/4/1997,9.86,2.288486169,0.003047234
4/7/1997,9.82,2.284421122,-0.004065046
4/8/1997,9.84,2.286455711,0.002034589
4/9/1997,9.83,2.285438934,-0.001016777
4/10/1997,9.83,2.285438934,0
4/11/1997,9.87,2.289499853,0.004060919
4/14/1997,9.88,2.290512512,0.001012658
4/15/1997,9.81,2.283402274,-0.007110238
4/16/1997,9.8,2.282382386,-0.001019888
