DATE,DTB3
1981-09-28,14.120
1981-09-29,14.160
1981-09-30,14.340
1981-10-01,14.570
1981-10-02,14.650
1981-10-05,14.270
1981-10-06,13.900
1981-10-07,13.850
1981-10-08,13.700
1981-10-09,13.330
1981-10-12,.
1981-10-13,13.500
1981-10-14,13.240
1981-10-15,13.360
1981-10-16,13.520
1981-10-19,13.520
1981-10-20,13.460
1981-10-21,13.290
1981-10-22,13.320
1981-10-23,13.240
1981-10-26,13.320
1981-10-27,13.360
1981-10-28,13.220
1981-10-29,13.040
1981-10-30,12.750
1981-11-02,12.690
1981-11-03,.
1981-11-04,12.300
1981-11-05,12.180
1981-11-06,11.680
1981-11-09,11.190
1981-11-10,11.150
1981-11-11,.
1981-11-12,10.600
1981-11-13,10.780
1981-11-16,10.630
1981-11-17,10.630
1981-11-18,10.070
1981-11-19,10.120
1981-11-20,10.110
1981-11-23,10.490
1981-11-24,10.170
1981-11-25,10.100
1981-11-26,.
1981-11-27,10.170
1981-11-30,10.370
1981-12-01,10.490
1981-12-02,10.620
1981-12-03,10.520
1981-12-04,9.940
1981-12-07,10.220
1981-12-08,10.260
1981-12-09,10.380
1981-12-10,10.680
1981-12-11,10.820
1981-12-14,10.950
1981-12-15,10.890
1981-12-16,10.870
1981-12-17,11.140
1981-12-18,10.870
1981-12-21,11.100
1981-12-22,11.030
1981-12-23,11.320
1981-12-24,11.100
1981-12-25,.
1981-12-28,11.270
1981-12-29,11.700
1981-12-30,11.360
1981-12-31,11.080
1982-01-01,.
1982-01-04,11.390
1982-01-05,11.720
1982-01-06,11.640
1982-01-07,11.660
1982-01-08,11.520
1982-01-11,11.970
1982-01-12,11.960
1982-01-13,12.140
1982-01-14,12.060
1982-01-15,12.210
1982-01-18,12.250
1982-01-19,12.560
1982-01-20,12.720
1982-01-21,12.770
1982-01-22,13.020
1982-01-25,13.320
1982-01-26,13.020
1982-01-27,12.800
1982-01-28,12.280
1982-01-29,12.520
1982-02-01,13.680
1982-02-02,13.610
1982-02-03,13.770
1982-02-04,13.690
1982-02-05,13.630
1982-02-08,13.960
1982-02-09,14.180
1982-02-10,14.150
1982-02-11,14.190
1982-02-12,.
1982-02-15,.
1982-02-16,14.570
1982-02-17,14.470
1982-02-18,13.700
1982-02-19,13.490
1982-02-22,12.550
1982-02-23,12.350
1982-02-24,12.000
1982-02-25,12.230
1982-02-26,12.440
1982-03-01,12.270
1982-03-02,12.370
1982-03-03,12.280
1982-03-04,12.180
1982-03-05,12.190
1982-03-08,12.120
1982-03-09,12.360
1982-03-10,12.410
1982-03-11,12.640
1982-03-12,12.810
1982-03-15,12.890
1982-03-16,12.730
1982-03-17,12.760
1982-03-18,12.830
1982-03-19,13.040
1982-03-22,12.650
1982-03-23,12.530
1982-03-24,12.680
1982-03-25,12.750
1982-03-26,13.000
1982-03-29,13.410
1982-03-30,13.430
1982-03-31,13.260
1982-04-01,13.240
1982-04-02,13.260
1982-04-05,13.050
1982-04-06,13.130
1982-04-07,13.180
1982-04-08,13.030
1982-04-09,.
1982-04-12,12.810
1982-04-13,12.730
1982-04-14,12.810
1982-04-15,12.860
1982-04-16,12.640
1982-04-19,12.480
1982-04-20,12.460
1982-04-21,12.190
1982-04-22,12.420
1982-04-23,12.390
1982-04-26,12.440
1982-04-27,12.430
1982-04-28,12.440
1982-04-29,12.440
1982-04-30,12.340
1982-05-03,12.740
1982-05-04,12.730
1982-05-05,12.620
1982-05-06,12.340
1982-05-07,12.250
1982-05-10,12.330
1982-05-11,12.300
1982-05-12,12.400
1982-05-13,12.500
1982-05-14,12.360
1982-05-17,12.320
1982-05-18,12.230
1982-05-19,11.940
1982-05-20,11.500
1982-05-21,11.510
1982-05-24,11.500
1982-05-25,11.570
1982-05-26,11.550
1982-05-27,11.570
1982-05-28,11.500
1982-05-31,.
1982-06-01,12.010
1982-06-02,12.060
1982-06-03,12.070
1982-06-04,12.220
1982-06-07,12.090
1982-06-08,12.170
1982-06-09,12.080
1982-06-10,11.980
1982-06-11,11.990
1982-06-14,12.340
1982-06-15,12.360
1982-06-16,12.310
1982-06-17,12.560
1982-06-18,12.730
1982-06-21,12.560
1982-06-22,12.780
1982-06-23,12.870
1982-06-24,12.990
1982-06-25,13.190
1982-06-28,13.110
1982-06-29,13.020
1982-06-30,12.760
1982-07-01,12.550
1982-07-02,12.590
1982-07-05,.
1982-07-06,12.620
1982-07-07,12.580
1982-07-08,11.950
1982-07-09,11.770
1982-07-12,11.730
1982-07-13,11.950
1982-07-14,12.000
1982-07-15,11.640
1982-07-16,11.210
1982-07-19,11.060
1982-07-20,10.660
1982-07-21,10.750
1982-07-22,10.410
1982-07-23,10.330
1982-07-26,10.450
1982-07-27,10.660
1982-07-28,10.720
1982-07-29,10.530
1982-07-30,10.170
1982-08-02,9.360
1982-08-03,9.800
1982-08-04,9.730
1982-08-05,9.800
1982-08-06,10.310
1982-08-09,9.860
1982-08-10,10.020
1982-08-11,9.970
1982-08-12,9.380
1982-08-13,9.250
1982-08-16,8.670
1982-08-17,8.050
1982-08-18,8.060
1982-08-19,7.520
1982-08-20,7.080
1982-08-23,7.500
1982-08-24,7.610
1982-08-25,7.420
1982-08-26,7.140
1982-08-27,7.840
1982-08-30,8.160
1982-08-31,8.420
1982-09-01,8.420
1982-09-02,8.360
1982-09-03,8.170
1982-09-06,.
1982-09-07,8.390
1982-09-08,8.300
1982-09-09,8.280
1982-09-10,8.370
1982-09-13,8.120
1982-09-14,7.890
1982-09-15,8.140
1982-09-16,8.030
1982-09-17,7.960
1982-09-20,7.780
1982-09-21,7.630
1982-09-22,7.350
1982-09-23,7.280
